5 Minutes,Lane 1 Flow (Veh/5 Minutes),# Lane Points,% Observed
6/4/2016 2:15,16,1,100
6/4/2016 2:30,16,1,100
6/4/2016 2:45,16,1,100
6/4/2016 3:0,16,1,100
6/4/2016 3:15,16,1,100
6/4/2016 3:30,129,1,100
6/4/2016 3:45,24,1,100
6/4/2016 4:0,90,1,100
6/4/2016 4:15,20,1,100
6/4/2016 4:30,91,1,100
6/4/2016 4:45,24,1,100
6/4/2016 5:0,44,1,100
6/4/2016 5:15,48,1,100
6/4/2016 5:30,84,1,100
6/4/2016 5:45,88,1,100
6/4/2016 6:0,112,1,100
6/4/2016 6:15,140,1,100
6/4/2016 6:30,112,1,100
6/4/2016 6:45,208,1,100
6/4/2016 7:0,196,1,100
6/4/2016 7:15,332,1,100
6/4/2016 7:30,436,1,100
6/4/2016 7:45,472,1,100
6/4/2016 8:0,440,1,100
6/4/2016 8:15,480,1,100
6/4/2016 8:30,292,1,100
6/4/2016 8:45,460,1,100
6/4/2016 9:0,488,1,100
6/4/2016 9:15,300,1,100
6/4/2016 9:30,428,1,100
6/4/2016 9:45,388,1,100
6/4/2016 10:0,456,1,100
6/4/2016 10:15,380,1,100
6/4/2016 10:30,536,1,100
6/4/2016 10:45,556,1,100
6/4/2016 11:0,440,1,100
6/4/2016 11:15,456,1,100
6/4/2016 11:30,428,1,100
6/4/2016 11:45,488,1,100
6/4/2016 12:0,436,1,100
6/4/2016 12:15,528,1,100
6/4/2016 12:30,436,1,100
6/4/2016 12:45,488,1,100
6/4/2016 13:0,432,1,100
6/4/2016 13:15,472,1,100
6/4/2016 13:30,532,1,100
6/4/2016 13:45,396,1,100
6/4/2016 14:0,420,1,100
6/4/2016 14:15,436,1,100
6/4/2016 14:30,460,1,100
6/4/2016 14:45,348,1,100
6/4/2016 15:0,444,1,100
6/4/2016 15:15,268,1,100
6/4/2016 15:30,272,1,100
6/4/2016 15:45,564,1,100
6/4/2016 16:0,412,1,100
6/4/2016 16:15,388,1,100
6/4/2016 16:30,384,1,100
6/4/2016 16:45,544,1,100
6/4/2016 17:0,524,1,100
6/4/2016 17:15,420,1,100
6/4/2016 17:30,356,1,100
6/4/2016 17:45,540,1,100
6/4/2016 18:0,352,1,100
6/4/2016 18:15,360,1,100
6/4/2016 18:30,360,1,100
6/4/2016 18:45,384,1,100
6/4/2016 19:0,548,1,100
6/4/2016 19:15,400,1,100
6/4/2016 19:30,376,1,100
6/4/2016 19:45,440,1,100
6/4/2016 20:0,484,1,100
6/4/2016 20:15,488,1,100
6/4/2016 20:30,512,1,100
6/4/2016 20:45,516,1,100
6/4/2016 21:0,416,1,100
6/4/2016 21:15,516,1,100
6/4/2016 21:30,408,1,100
6/4/2016 21:45,408,1,100
6/4/2016 22:0,384,1,100
6/4/2016 22:15,484,1,100
6/4/2016 22:30,312,1,100
6/4/2016 22:45,236,1,100
6/4/2016 23:0,216,1,100
6/4/2016 23:15,192,1,100
6/4/2016 23:30,148,1,100
6/4/2016 23:45,176,1,100
7/4/2016 0:0,120,1,100
7/4/2016 0:15,176,1,100
7/4/2016 0:30,124,1,100
7/4/2016 0:45,100,1,100
7/4/2016 1:0,96,1,100
7/4/2016 1:15,40,1,100
7/4/2016 1:30,60,1,100
7/4/2016 1:45,24,1,100
7/4/2016 2:0,36,1,100
7/4/2016 2:15,24,1,100
7/4/2016 2:30,4,1,100
7/4/2016 2:45,32,1,100
7/4/2016 3:0,12,1,100
7/4/2016 3:15,24,1,100
7/4/2016 3:30,12,1,100
7/4/2016 3:45,12,1,100
7/4/2016 4:0,32,1,100
7/4/2016 4:15,8,1,100
7/4/2016 4:30,32,1,100
7/4/2016 4:45,4,1,100
7/4/2016 5:0,36,1,100
7/4/2016 5:15,40,1,100
7/4/2016 5:30,140,1,100
7/4/2016 5:45,108,1,100
7/4/2016 6:0,116,1,100
7/4/2016 6:15,88,1,100
7/4/2016 6:30,120,1,100
7/4/2016 6:45,192,1,100
7/4/2016 7:0,224,1,100
7/4/2016 7:15,304,1,100
7/4/2016 7:30,384,1,100
7/4/2016 7:45,368,1,100
7/4/2016 8:0,400,1,100
7/4/2016 8:15,436,1,100
7/4/2016 8:30,412,1,100
7/4/2016 8:45,572,1,100
7/4/2016 9:0,468,1,100
7/4/2016 9:15,512,1,100
7/4/2016 9:30,452,1,100
7/4/2016 9:45,512,1,100
7/4/2016 10:0,428,1,100
7/4/2016 10:15,452,1,100
7/4/2016 10:30,452,1,100
7/4/2016 10:45,460,1,100
7/4/2016 11:0,548,1,100
7/4/2016 11:15,472,1,100
7/4/2016 11:30,448,1,100
7/4/2016 11:45,544,1,100
7/4/2016 12:0,428,1,100
7/4/2016 12:15,380,1,100
7/4/2016 12:30,544,1,100
7/4/2016 12:45,500,1,100
7/4/2016 13:0,476,1,100
7/4/2016 13:15,436,1,100
7/4/2016 13:30,496,1,100
7/4/2016 13:45,556,1,100
7/4/2016 14:0,560,1,100
7/4/2016 14:15,340,1,100
7/4/2016 14:30,428,1,100
7/4/2016 14:45,456,1,100
7/4/2016 15:0,472,1,100
7/4/2016 15:15,408,1,100
7/4/2016 15:30,464,1,100
7/4/2016 15:45,476,1,100
7/4/2016 16:0,448,1,100
7/4/2016 16:15,636,1,100
7/4/2016 16:30,428,1,100
7/4/2016 16:45,488,1,100
7/4/2016 17:0,488,1,100
7/4/2016 17:15,448,1,100
7/4/2016 17:30,432,1,100
7/4/2016 17:45,496,1,100
7/4/2016 18:0,308,1,100
7/4/2016 18:15,396,1,100
7/4/2016 18:30,456,1,100
7/4/2016 18:45,460,1,100
7/4/2016 19:0,436,1,100
7/4/2016 19:15,416,1,100
7/4/2016 19:30,428,1,100
7/4/2016 19:45,392,1,100
7/4/2016 20:0,432,1,100
7/4/2016 20:15,384,1,100
7/4/2016 20:30,400,1,100
7/4/2016 20:45,512,1,100
7/4/2016 21:0,468,1,100
7/4/2016 21:15,456,1,100
7/4/2016 21:30,488,1,100
7/4/2016 21:45,432,1,100
7/4/2016 22:0,328,1,100
7/4/2016 22:15,448,1,100
7/4/2016 22:30,316,1,100
7/4/2016 22:45,212,1,100
7/4/2016 23:0,144,1,100
7/4/2016 23:15,172,1,100
7/4/2016 23:30,124,1,100
7/4/2016 23:45,80,1,100
8/4/2016 0:0,44,1,100
8/4/2016 0:15,84,1,100
8/4/2016 0:30,60,1,100
8/4/2016 0:45,44,1,100
8/4/2016 1:0,52,1,100
8/4/2016 1:15,12,1,100
8/4/2016 1:30,16,1,100
8/4/2016 1:45,52,1,100
8/4/2016 2:0,36,1,100
8/4/2016 2:15,8,1,100
8/4/2016 2:30,12,1,100
8/4/2016 2:45,12,1,100
8/4/2016 3:0,12,1,100
8/4/2016 3:15,40,1,100
8/4/2016 3:30,12,1,100
8/4/2016 3:45,36,1,100
8/4/2016 4:0,45,1,100
8/4/2016 4:15,12,1,100
8/4/2016 4:30,12,1,100
8/4/2016 4:45,20,1,100
8/4/2016 5:0,44,1,100
8/4/2016 5:15,60,1,100
8/4/2016 5:30,48,1,100
8/4/2016 5:45,112,1,100
8/4/2016 6:0,136,1,100
8/4/2016 6:15,136,1,100
8/4/2016 6:30,104,1,100
8/4/2016 6:45,200,1,100
8/4/2016 7:0,256,1,100
8/4/2016 7:15,324,1,100
8/4/2016 7:30,416,1,100
8/4/2016 7:45,424,1,100
8/4/2016 8:0,312,1,100
8/4/2016 8:15,348,1,100
8/4/2016 8:30,340,1,100
8/4/2016 8:45,468,1,100
8/4/2016 9:0,408,1,100
8/4/2016 9:15,396,1,100
8/4/2016 9:30,380,1,100
8/4/2016 9:45,312,1,100
8/4/2016 10:0,724,1,100
8/4/2016 10:15,440,1,100
8/4/2016 10:30,468,1,100
8/4/2016 10:45,376,1,100
8/4/2016 11:0,480,1,100
8/4/2016 11:15,424,1,100
8/4/2016 11:30,592,1,100
8/4/2016 11:45,408,1,100
8/4/2016 12:0,440,1,100
8/4/2016 12:15,364,1,100
8/4/2016 12:30,392,1,100
8/4/2016 12:45,576,1,100
8/4/2016 13:0,552,1,100
8/4/2016 13:15,320,1,100
8/4/2016 13:30,332,1,100
8/4/2016 13:45,504,1,100
8/4/2016 14:0,332,1,100
8/4/2016 14:15,364,1,100
8/4/2016 14:30,420,1,100
8/4/2016 14:45,492,1,100
8/4/2016 15:0,284,1,100
8/4/2016 15:15,400,1,100
8/4/2016 15:30,424,1,100
8/4/2016 15:45,460,1,100
8/4/2016 16:0,516,1,100
8/4/2016 16:15,512,1,100
8/4/2016 16:30,440,1,100
8/4/2016 16:45,564,1,100
8/4/2016 17:0,408,1,100
8/4/2016 17:15,544,1,100
8/4/2016 17:30,432,1,100
8/4/2016 17:45,504,1,100
8/4/2016 18:0,384,1,100
8/4/2016 18:15,420,1,100
8/4/2016 18:30,356,1,100
8/4/2016 18:45,444,1,100
8/4/2016 19:0,368,1,100
8/4/2016 19:15,340,1,100
8/4/2016 19:30,404,1,100
8/4/2016 19:45,432,1,100
8/4/2016 20:0,532,1,100
8/4/2016 20:15,556,1,100
8/4/2016 20:30,432,1,100
8/4/2016 20:45,500,1,100
8/4/2016 21:0,440,1,100
8/4/2016 21:15,416,1,100
8/4/2016 21:30,340,1,100
8/4/2016 21:45,472,1,100
8/4/2016 22:0,500,1,100
8/4/2016 22:15,428,1,100
8/4/2016 22:30,368,1,100
8/4/2016 22:45,292,1,100
8/4/2016 23:0,176,1,100
8/4/2016 23:15,224,1,100
8/4/2016 23:30,240,1,100
8/4/2016 23:45,184,1,100
9/4/2016 0:0,228,1,100
9/4/2016 0:15,188,1,100
9/4/2016 0:30,264,1,100
9/4/2016 0:45,96,1,100
9/4/2016 1:0,172,1,100
9/4/2016 1:15,88,1,100
9/4/2016 1:30,124,1,100
9/4/2016 1:45,68,1,100
9/4/2016 2:0,96,1,100
9/4/2016 2:15,96,1,100
9/4/2016 2:30,44,1,100
9/4/2016 2:45,64,1,100
9/4/2016 3:0,72,1,100
9/4/2016 3:15,20,1,100
9/4/2016 3:30,80,1,100
9/4/2016 3:45,64,1,100
9/4/2016 4:0,48,1,100
9/4/2016 4:15,36,1,100
9/4/2016 4:30,24,1,100
9/4/2016 4:45,24,1,100
9/4/2016 5:0,56,1,100
9/4/2016 5:15,68,1,100
9/4/2016 5:30,32,1,100
9/4/2016 5:45,72,1,100
9/4/2016 6:0,76,1,100
9/4/2016 6:15,92,1,100
9/4/2016 6:30,60,1,100
9/4/2016 6:45,112,1,100
9/4/2016 7:0,100,1,100
9/4/2016 7:15,128,1,100
9/4/2016 7:30,116,1,100
9/4/2016 7:45,208,1,100
9/4/2016 8:0,196,1,100
9/4/2016 8:15,144,1,100
9/4/2016 8:30,144,1,100
9/4/2016 8:45,220,1,100
9/4/2016 9:0,236,1,100
9/4/2016 9:15,264,1,100
9/4/2016 9:30,284,1,100
9/4/2016 9:45,372,1,100
9/4/2016 10:0,376,1,100
9/4/2016 10:15,356,1,100
9/4/2016 10:30,312,1,100
9/4/2016 10:45,388,1,100
9/4/2016 11:0,360,1,100
9/4/2016 11:15,496,1,100
9/4/2016 11:30,456,1,100
9/4/2016 11:45,556,1,100
9/4/2016 12:0,408,1,100
9/4/2016 12:15,568,1,100
9/4/2016 12:30,496,1,100
9/4/2016 12:45,504,1,100
9/4/2016 13:0,436,1,100
9/4/2016 13:15,476,1,100
9/4/2016 13:30,436,1,100
9/4/2016 13:45,604,1,100
9/4/2016 14:0,620,1,100
9/4/2016 14:15,376,1,100
9/4/2016 14:30,408,1,100
9/4/2016 14:45,400,1,100
9/4/2016 15:0,412,1,100
9/4/2016 15:15,376,1,100
9/4/2016 15:30,292,1,100
9/4/2016 15:45,308,1,100
9/4/2016 16:0,256,1,100
9/4/2016 16:15,292,1,100
9/4/2016 16:30,324,1,100
9/4/2016 16:45,356,1,100
9/4/2016 17:0,340,1,100
9/4/2016 17:15,400,1,100
9/4/2016 17:30,404,1,100
9/4/2016 17:45,372,1,100
9/4/2016 18:0,360,1,100
9/4/2016 18:15,464,1,100
9/4/2016 18:30,512,1,100
9/4/2016 18:45,472,1,100
9/4/2016 19:0,464,1,100
9/4/2016 19:15,540,1,100
9/4/2016 19:30,404,1,100
9/4/2016 19:45,576,1,100
9/4/2016 20:0,424,1,100
9/4/2016 20:15,588,1,100
9/4/2016 20:30,416,1,100
9/4/2016 20:45,476,1,100
9/4/2016 21:0,564,1,100
9/4/2016 21:15,520,1,100
9/4/2016 21:30,460,1,100
9/4/2016 21:45,572,1,100
9/4/2016 22:0,420,1,100
9/4/2016 22:15,568,1,100
9/4/2016 22:30,428,1,100
9/4/2016 22:45,332,1,100
9/4/2016 23:0,268,1,100
9/4/2016 23:15,332,1,100
9/4/2016 23:30,180,1,100
9/4/2016 23:45,212,1,100
10/4/2016 0:0,224,1,100
10/4/2016 0:15,204,1,100
10/4/2016 0:30,200,1,100
10/4/2016 0:45,176,1,100
10/4/2016 1:0,104,1,100
10/4/2016 1:15,84,1,100
10/4/2016 1:30,120,1,100
10/4/2016 1:45,148,1,100
10/4/2016 2:0,124,1,100
10/4/2016 2:15,108,1,100
10/4/2016 2:30,56,1,100
10/4/2016 2:45,80,1,100
10/4/2016 3:0,68,1,100
10/4/2016 3:15,76,1,100
10/4/2016 3:30,36,1,100
10/4/2016 3:45,36,1,100
10/4/2016 4:0,68,1,100
10/4/2016 4:15,36,1,100
10/4/2016 4:30,52,1,100
10/4/2016 4:45,52,1,100
10/4/2016 5:0,48,1,100
10/4/2016 5:15,64,1,100
10/4/2016 5:30,72,1,100
10/4/2016 5:45,48,1,100
10/4/2016 6:0,100,1,100
10/4/2016 6:15,64,1,100
10/4/2016 6:30,48,1,100
10/4/2016 6:45,68,1,100
10/4/2016 7:0,84,1,100
10/4/2016 7:15,108,1,100
10/4/2016 7:30,124,1,100
10/4/2016 7:45,120,1,100
10/4/2016 8:0,168,1,100
10/4/2016 8:15,104,1,100
10/4/2016 8:30,64,1,100
10/4/2016 8:45,144,1,100
10/4/2016 9:0,132,1,100
10/4/2016 9:15,124,1,100
10/4/2016 9:30,152,1,100
10/4/2016 9:45,212,1,100
10/4/2016 10:0,252,1,100
10/4/2016 10:15,204,1,100
10/4/2016 10:30,236,1,100
10/4/2016 10:45,236,1,100
10/4/2016 11:0,288,1,100
10/4/2016 11:15,276,1,100
10/4/2016 11:30,288,1,100
10/4/2016 11:45,320,1,100
10/4/2016 12:0,364,1,100
10/4/2016 12:15,404,1,100
10/4/2016 12:30,312,1,100
10/4/2016 12:45,412,1,100
10/4/2016 13:0,448,1,100
10/4/2016 13:15,336,1,100
10/4/2016 13:30,328,1,100
10/4/2016 13:45,320,1,100
10/4/2016 14:0,364,1,100
10/4/2016 14:15,364,1,100
10/4/2016 14:30,312,1,100
10/4/2016 14:45,260,1,100
10/4/2016 15:0,240,1,100
10/4/2016 15:15,228,1,100
10/4/2016 15:30,248,1,100
10/4/2016 15:45,244,1,100
10/4/2016 16:0,220,1,100
10/4/2016 16:15,240,1,100
10/4/2016 16:30,352,1,100
10/4/2016 16:45,300,1,100
10/4/2016 17:0,300,1,100
10/4/2016 17:15,392,1,100
10/4/2016 17:30,268,1,100
10/4/2016 17:45,396,1,100
10/4/2016 18:0,360,1,100
10/4/2016 18:15,448,1,100
10/4/2016 18:30,456,1,100
10/4/2016 18:45,424,1,100
10/4/2016 19:0,412,1,100
10/4/2016 19:15,420,1,100
10/4/2016 19:30,452,1,100
10/4/2016 19:45,372,1,100
10/4/2016 20:0,464,1,100
10/4/2016 20:15,468,1,100
10/4/2016 20:30,412,1,100
10/4/2016 20:45,384,1,100
10/4/2016 21:0,400,1,100
10/4/2016 21:15,384,1,100
10/4/2016 21:30,392,1,100
10/4/2016 21:45,296,1,100
10/4/2016 22:0,272,1,100
10/4/2016 22:15,348,1,100
10/4/2016 22:30,224,1,100
10/4/2016 22:45,208,1,100
10/4/2016 23:0,200,1,100
10/4/2016 23:15,172,1,100
10/4/2016 23:30,108,1,100
10/4/2016 23:45,104,1,100
11/4/2016 0:0,84,1,100
11/4/2016 0:15,96,1,100
11/4/2016 0:30,68,1,100
11/4/2016 0:45,128,1,100
11/4/2016 1:0,28,1,100
11/4/2016 1:15,40,1,100
11/4/2016 1:30,32,1,100
11/4/2016 1:45,4,1,100
11/4/2016 2:0,12,1,100
11/4/2016 2:15,20,1,100
11/4/2016 2:30,12,1,100
11/4/2016 2:45,28,1,100
11/4/2016 3:0,12,1,100
11/4/2016 3:15,8,1,100
11/4/2016 3:30,4,1,100
11/4/2016 3:45,8,1,100
11/4/2016 4:0,28,1,100
11/4/2016 4:15,8,1,100
11/4/2016 4:30,16,1,100
11/4/2016 4:45,16,1,100
11/4/2016 5:0,52,1,100
11/4/2016 5:15,44,1,100
11/4/2016 5:30,84,1,100
11/4/2016 5:45,140,1,100
11/4/2016 6:0,116,1,100
11/4/2016 6:15,76,1,100
11/4/2016 6:30,168,1,100
11/4/2016 6:45,216,1,100
11/4/2016 7:0,164,1,100
11/4/2016 7:15,336,1,100
11/4/2016 7:30,264,1,100
11/4/2016 7:45,268,1,100
11/4/2016 8:0,392,1,100
11/4/2016 8:15,248,1,100
11/4/2016 8:30,388,1,100
11/4/2016 8:45,436,1,100
11/4/2016 9:0,432,1,100
11/4/2016 9:15,436,1,100
11/4/2016 9:30,420,1,100
11/4/2016 9:45,364,1,100
11/4/2016 10:0,452,1,100
11/4/2016 10:15,444,1,100
11/4/2016 10:30,360,1,100
11/4/2016 10:45,440,1,100
11/4/2016 11:0,536,1,100
11/4/2016 11:15,604,1,100
11/4/2016 11:30,476,1,100
11/4/2016 11:45,544,1,100
11/4/2016 12:0,528,1,100
11/4/2016 12:15,472,1,100
11/4/2016 12:30,524,1,100
11/4/2016 12:45,480,1,100
11/4/2016 13:0,392,1,100
11/4/2016 13:15,384,1,100
11/4/2016 13:30,356,1,100
11/4/2016 13:45,360,1,100
11/4/2016 14:0,412,1,100
11/4/2016 14:15,524,1,100
11/4/2016 14:30,420,1,100
11/4/2016 14:45,240,1,100
11/4/2016 15:0,300,1,100
11/4/2016 15:15,372,1,100
11/4/2016 15:30,432,1,100
11/4/2016 15:45,444,1,100
11/4/2016 16:0,448,1,100
11/4/2016 16:15,504,1,100
11/4/2016 16:30,492,1,100
11/4/2016 16:45,512,1,100
11/4/2016 17:0,516,1,100
11/4/2016 17:15,500,1,100
11/4/2016 17:30,488,1,100
11/4/2016 17:45,428,1,100
11/4/2016 18:0,484,1,100
11/4/2016 18:15,400,1,100
11/4/2016 18:30,328,1,100
11/4/2016 18:45,552,1,100
11/4/2016 19:0,444,1,100
11/4/2016 19:15,568,1,100
11/4/2016 19:30,296,1,100
11/4/2016 19:45,476,1,100
11/4/2016 20:0,380,1,100
11/4/2016 20:15,436,1,100
11/4/2016 20:30,408,1,100
11/4/2016 20:45,536,1,100
11/4/2016 21:0,360,1,100
11/4/2016 21:15,424,1,100
11/4/2016 21:30,416,1,100
11/4/2016 21:45,460,1,100
11/4/2016 22:0,472,1,100
11/4/2016 22:15,400,1,100
11/4/2016 22:30,248,1,100
11/4/2016 22:45,264,1,100
11/4/2016 23:0,216,1,100
11/4/2016 23:15,148,1,100
11/4/2016 23:30,104,1,100
11/4/2016 23:45,120,1,100
12/4/2016 0:0,76,1,100
12/4/2016 0:15,56,1,100
12/4/2016 0:30,52,1,100
12/4/2016 0:45,40,1,100
12/4/2016 1:0,32,1,100
12/4/2016 1:15,12,1,100
12/4/2016 1:30,36,1,100
12/4/2016 1:45,36,1,100
12/4/2016 2:0,16,1,100
12/4/2016 2:15,20,1,100
12/4/2016 2:30,28,1,100
12/4/2016 2:45,24,1,100
12/4/2016 3:0,12,1,100
12/4/2016 3:15,20,1,100
12/4/2016 3:30,4,1,100
12/4/2016 3:45,16,1,100
12/4/2016 4:0,4,1,100
12/4/2016 4:15,20,1,100
12/4/2016 4:30,20,1,100
12/4/2016 4:45,32,1,100
12/4/2016 5:0,24,1,100
12/4/2016 5:15,44,1,100
12/4/2016 5:30,96,1,100
12/4/2016 5:45,140,1,100
12/4/2016 6:0,112,1,100
12/4/2016 6:15,132,1,100
12/4/2016 6:30,228,1,100
12/4/2016 6:45,192,1,100
12/4/2016 7:0,256,1,100
12/4/2016 7:15,344,1,100
12/4/2016 7:30,392,1,100
12/4/2016 7:45,296,1,100
12/4/2016 8:0,424,1,100
12/4/2016 8:15,308,1,100
12/4/2016 8:30,368,1,100
12/4/2016 8:45,312,1,100
12/4/2016 9:0,440,1,100
12/4/2016 9:15,388,1,100
12/4/2016 9:30,352,1,100
12/4/2016 9:45,324,1,100
12/4/2016 10:0,492,1,100
12/4/2016 10:15,416,1,100
12/4/2016 10:30,456,1,100
12/4/2016 10:45,448,1,100
12/4/2016 11:0,456,1,100
12/4/2016 11:15,536,1,100
12/4/2016 11:30,456,1,100
12/4/2016 11:45,452,1,100
12/4/2016 12:0,528,1,100
12/4/2016 12:15,396,1,100
12/4/2016 12:30,452,1,100
12/4/2016 12:45,416,1,100
12/4/2016 13:0,332,1,100
12/4/2016 13:15,428,1,100
12/4/2016 13:30,380,1,100
12/4/2016 13:45,424,1,100
12/4/2016 14:0,432,1,100
12/4/2016 14:15,352,1,100
12/4/2016 14:30,352,1,100
12/4/2016 14:45,388,1,100
12/4/2016 15:0,344,1,100
12/4/2016 15:15,268,1,100
12/4/2016 15:30,328,1,100
12/4/2016 15:45,392,1,100
12/4/2016 16:0,344,1,100
12/4/2016 16:15,488,1,100
12/4/2016 16:30,388,1,100
12/4/2016 16:45,540,1,100
12/4/2016 17:0,508,1,100
12/4/2016 17:15,424,1,100
12/4/2016 17:30,572,1,100
12/4/2016 17:45,340,1,100
12/4/2016 18:0,392,1,100
12/4/2016 18:15,452,1,100
12/4/2016 18:30,476,1,100
12/4/2016 18:45,384,1,100
12/4/2016 19:0,460,1,100
12/4/2016 19:15,468,1,100
12/4/2016 19:30,508,1,100
12/4/2016 19:45,576,1,100
12/4/2016 20:0,556,1,100
12/4/2016 20:15,568,1,100
12/4/2016 20:30,456,1,100
12/4/2016 20:45,536,1,100
12/4/2016 21:0,348,1,100
12/4/2016 21:15,368,1,100
12/4/2016 21:30,360,1,100
12/4/2016 21:45,412,1,100
12/4/2016 22:0,384,1,100
12/4/2016 22:15,432,1,100
12/4/2016 22:30,184,1,100
12/4/2016 22:45,256,1,100
12/4/2016 23:0,208,1,100
12/4/2016 23:15,116,1,100
12/4/2016 23:30,144,1,100
12/4/2016 23:45,96,1,100
13/4/2016 0:0,52,1,100
13/4/2016 0:15,80,1,100
13/4/2016 0:30,72,1,100
13/4/2016 0:45,52,1,100
13/4/2016 1:0,36,1,100
13/4/2016 1:15,40,1,100
13/4/2016 1:30,123,1,100
13/4/2016 1:45,16,1,100
13/4/2016 2:0,16,1,100
13/4/2016 2:15,40,1,100
13/4/2016 2:30,90,1,100
13/4/2016 2:45,28,1,100
13/4/2016 3:0,16,1,100
13/4/2016 3:15,20,1,100
13/4/2016 3:30,28,1,100
13/4/2016 3:45,20,1,100
13/4/2016 4:0,4,1,100
13/4/2016 4:15,24,1,100
13/4/2016 4:30,48,1,100
13/4/2016 4:45,8,1,100
13/4/2016 5:0,52,1,100
13/4/2016 5:15,40,1,100
13/4/2016 5:30,116,1,100
13/4/2016 5:45,88,1,100
13/4/2016 6:0,148,1,100
13/4/2016 6:15,84,1,100
13/4/2016 6:30,188,1,100
13/4/2016 6:45,212,1,100
13/4/2016 7:0,216,1,100
13/4/2016 7:15,324,1,100
13/4/2016 7:30,484,1,100
13/4/2016 7:45,392,1,100
13/4/2016 8:0,400,1,100
13/4/2016 8:15,472,1,100
13/4/2016 8:30,400,1,100
13/4/2016 8:45,512,1,100
13/4/2016 9:0,480,1,100
13/4/2016 9:15,432,1,100
13/4/2016 9:30,412,1,100
13/4/2016 9:45,468,1,100
13/4/2016 10:0,328,1,100
13/4/2016 10:15,488,1,100
13/4/2016 10:30,328,1,100
13/4/2016 10:45,408,1,100
13/4/2016 11:0,540,1,100
13/4/2016 11:15,452,1,100
13/4/2016 11:30,480,1,100
13/4/2016 11:45,504,1,100
13/4/2016 12:0,464,1,100
13/4/2016 12:15,344,1,100
13/4/2016 12:30,468,1,100
13/4/2016 12:45,484,1,100
13/4/2016 13:0,444,1,100
13/4/2016 13:15,428,1,100
13/4/2016 13:30,492,1,100
13/4/2016 13:45,476,1,100
13/4/2016 14:0,448,1,100
13/4/2016 14:15,444,1,100
13/4/2016 14:30,348,1,100
13/4/2016 14:45,516,1,100
13/4/2016 15:0,332,1,100
13/4/2016 15:15,356,1,100
13/4/2016 15:30,460,1,100
13/4/2016 15:45,392,1,100
13/4/2016 16:0,480,1,100
13/4/2016 16:15,472,1,100
13/4/2016 16:30,528,1,100
13/4/2016 16:45,484,1,100
13/4/2016 17:0,524,1,100
13/4/2016 17:15,500,1,100
13/4/2016 17:30,544,1,100
13/4/2016 17:45,656,1,100
13/4/2016 18:0,536,1,100
13/4/2016 18:15,552,1,100
13/4/2016 18:30,332,1,100
13/4/2016 18:45,552,1,100
13/4/2016 19:0,504,1,100
13/4/2016 19:15,424,1,100
13/4/2016 19:30,480,1,100
13/4/2016 19:45,412,1,100
13/4/2016 20:0,508,1,100
13/4/2016 20:15,488,1,100
13/4/2016 20:30,528,1,100
13/4/2016 20:45,488,1,100
13/4/2016 21:0,344,1,100
13/4/2016 21:15,396,1,100
13/4/2016 21:30,384,1,100
13/4/2016 21:45,456,1,100
13/4/2016 22:0,416,1,100
13/4/2016 22:15,480,1,100
13/4/2016 22:30,276,1,100
13/4/2016 22:45,344,1,100
13/4/2016 23:0,224,1,100
13/4/2016 23:15,160,1,100
13/4/2016 23:30,100,1,100
13/4/2016 23:45,160,1,100
14/4/2016 0:0,120,1,100
14/4/2016 0:15,164,1,100
14/4/2016 0:30,112,1,100
14/4/2016 0:45,36,1,100
14/4/2016 1:0,44,1,100
14/4/2016 1:15,48,1,100
14/4/2016 1:30,32,1,100
14/4/2016 1:45,32,1,100
14/4/2016 2:0,131,1,100
14/4/2016 2:15,44,1,100
14/4/2016 2:30,4,1,100
14/4/2016 2:45,12,1,100
14/4/2016 3:0,32,1,100
14/4/2016 3:15,28,1,100
14/4/2016 3:30,129,1,100
14/4/2016 3:45,12,1,100
14/4/2016 4:0,20,1,100
14/4/2016 4:15,8,1,100
14/4/2016 4:30,8,1,100
14/4/2016 4:45,12,1,100
14/4/2016 5:0,40,1,100
14/4/2016 5:15,52,1,100
14/4/2016 5:30,92,1,100
14/4/2016 5:45,132,1,100
14/4/2016 6:0,132,1,100
14/4/2016 6:15,96,1,100
14/4/2016 6:30,160,1,100
14/4/2016 6:45,272,1,100
14/4/2016 7:0,244,1,100
14/4/2016 7:15,300,1,100
14/4/2016 7:30,376,1,100
14/4/2016 7:45,332,1,100
14/4/2016 8:0,416,1,100
14/4/2016 8:15,364,1,100
14/4/2016 8:30,432,1,100
14/4/2016 8:45,456,1,100
14/4/2016 9:0,388,1,100
14/4/2016 9:15,268,1,100
14/4/2016 9:30,396,1,100
14/4/2016 9:45,376,1,100
14/4/2016 10:0,436,1,100
14/4/2016 10:15,428,1,100
14/4/2016 10:30,432,1,100
14/4/2016 10:45,376,1,100
14/4/2016 11:0,356,1,100
14/4/2016 11:15,468,1,100
14/4/2016 11:30,396,1,100
14/4/2016 11:45,388,1,100
14/4/2016 12:0,420,1,100
14/4/2016 12:15,536,1,100
14/4/2016 12:30,524,1,100
14/4/2016 12:45,484,1,100
14/4/2016 13:0,496,1,100
14/4/2016 13:15,440,1,100
14/4/2016 13:30,384,1,100
14/4/2016 13:45,400,1,100
14/4/2016 14:0,552,1,100
14/4/2016 14:15,292,1,100
14/4/2016 14:30,380,1,100
14/4/2016 14:45,344,1,100
14/4/2016 15:0,436,1,100
14/4/2016 15:15,236,1,100
